rank,name,rule_type,expression,matched,profit_count,loss_count,win_rate,lift_vs_baseline,avg_roi,avg_pnl_sol,median_holding_seconds,avg_max_runup,avg_max_drawdown,avg_exit_efficiency
109,pre_5m_return >= 0.10 AND volume >= 3.00x AND range >= 0.50,entry_filter_combo,pre_5m_return >= 0.1000 AND pre_5m_volume_spike >= 3.0000 AND entry_range_position >= 0.5000,10,6,4,0.600000000,0.100000000,0.221996600,0.101490481,74,0.455134394,-0.474035977,0.900654661
110,pre_5m_return >= 0.00 AND volume >= 5.00x,entry_filter_combo,pre_5m_return >= 0.0000 AND pre_5m_volume_spike >= 5.0000,10,6,4,0.600000000,0.100000000,0.208896900,0.097918079,74,0.539855542,-0.486414471,0.883948902
111,entry_range_position >= 0.40,entry_filter,entry_range_position >= 0.4000,72,43,29,0.597222222,0.097222222,0.179221319,0.092347399,42,0.379472296,-0.425337662,0.806570535
112,entry_range_position >= 0.65,entry_filter,entry_range_position >= 0.6500,59,35,24,0.593220339,0.093220339,0.215773068,0.108379646,43,0.399796838,-0.452546425,0.803054734
113,pre_5m_return >= -0.50 AND volume >= 1.50x,entry_filter_combo,pre_5m_return >= -0.5000 AND pre_5m_volume_spike >= 1.5000,22,13,9,0.590909091,0.090909091,0.095658045,0.049084020,57,0.439258322,-0.384953922,0.846248434
114,pre_5m_return >= -0.25 AND volume >= 1.50x,entry_filter_combo,pre_5m_return >= -0.2500 AND pre_5m_volume_spike >= 1.5000,22,13,9,0.590909091,0.090909091,0.095658045,0.049084020,57,0.439258322,-0.384953922,0.846248434
115,entry_label == breakout_volume_entry,entry_label,entry_label == breakout_volume_entry,22,13,9,0.590909091,0.090909091,0.088605864,0.045304832,57,0.650435084,-0.362114547,0.809681271
116,entry_range_position >= 0.50,entry_filter,entry_range_position >= 0.5000,65,38,27,0.584615385,0.084615385,0.196742646,0.098907856,43,0.382558042,-0.439149252,0.810391106
117,pre_5m_volume_spike >= 1.50,entry_filter,pre_5m_volume_spike >= 1.5000,24,14,10,0.583333333,0.083333333,0.075058417,0.038468455,57,0.606646755,-0.352874428,0.799899328
118,pre_5m_return >= 0.00 AND volume >= 2.00x AND range >= 0.65,entry_filter_combo,pre_5m_return >= 0.0000 AND pre_5m_volume_spike >= 2.0000 AND entry_range_position >= 0.6500,12,7,5,0.583333333,0.083333333,0.204770417,0.094461478,76,0.414274132,-0.440629128,0.915020846
119,pre_5m_return >= 0.00 AND volume >= 3.00x,entry_filter_combo,pre_5m_return >= 0.0000 AND pre_5m_volume_spike >= 3.0000,12,7,5,0.583333333,0.083333333,0.187884333,0.088431214,74,0.468925255,-0.448563711,0.886757571
120,volume >= 3.00x AND range >= 0.40,entry_filter_combo,pre_5m_volume_spike >= 3.0000 AND entry_range_position >= 0.4000,12,7,5,0.583333333,0.083333333,0.187556417,0.085717065,57,0.403807548,-0.436319007,0.897386200
121,volume >= 3.00x AND range >= 0.50,entry_filter_combo,pre_5m_volume_spike >= 3.0000 AND entry_range_position >= 0.5000,12,7,5,0.583333333,0.083333333,0.187556417,0.085717065,57,0.403807548,-0.436319007,0.897386200
122,pre_5m_return >= -0.50 AND volume >= 3.00x,entry_filter_combo,pre_5m_return >= -0.5000 AND pre_5m_volume_spike >= 3.0000,14,8,6,0.571428571,0.071428571,0.135249286,0.062782416,57,0.472447521,-0.423131658,0.857458086
123,pre_5m_return >= -0.25 AND volume >= 3.00x,entry_filter_combo,pre_5m_return >= -0.2500 AND pre_5m_volume_spike >= 3.0000,14,8,6,0.571428571,0.071428571,0.135249286,0.062782416,57,0.472447521,-0.423131658,0.857458086
124,pre_5m_volume_spike >= 3.00,entry_filter,pre_5m_volume_spike >= 3.0000,16,9,7,0.562500000,0.062500000,0.099400937,0.045146768,47,0.719381521,-0.370240201,0.786533222
125,pre_5m_return >= -0.25,entry_filter,pre_5m_return >= -0.2500,50,28,22,0.560000000,0.060000000,0.093360540,0.054592474,47,0.348390064,-0.295199402,0.847194506
126,pre_20m_return >= -0.25,entry_filter,pre_20m_return >= -0.2500,50,28,22,0.560000000,0.060000000,0.093360540,0.054592474,47,0.348390064,-0.295199402,0.847194506
127,pre_5m_return >= 0.10 AND volume >= 3.00x AND range >= 0.65,entry_filter_combo,pre_5m_return >= 0.1000 AND pre_5m_volume_spike >= 3.0000 AND entry_range_position >= 0.6500,9,5,4,0.555555556,0.055555556,0.243950889,0.111411537,74,0.452821490,-0.472578591,0.905378261
128,volume >= 5.00x AND range >= 0.40,entry_filter_combo,pre_5m_volume_spike >= 5.0000 AND entry_range_position >= 0.4000,9,5,4,0.555555556,0.055555556,0.226869222,0.102962781,57,0.480310700,-0.476496969,0.910493555
129,volume >= 5.00x AND range >= 0.50,entry_filter_combo,pre_5m_volume_spike >= 5.0000 AND entry_range_position >= 0.5000,9,5,4,0.555555556,0.055555556,0.226869222,0.102962781,57,0.480310700,-0.476496969,0.910493555
130,pre_5m_return >= 0.00 AND volume >= 5.00x AND range >= 0.50,entry_filter_combo,pre_5m_return >= 0.0000 AND pre_5m_volume_spike >= 5.0000 AND entry_range_position >= 0.5000,9,5,4,0.555555556,0.055555556,0.226869222,0.102962781,57,0.480310700,-0.476496969,0.910493555
131,volume >= 3.00x AND range >= 0.65,entry_filter_combo,pre_5m_volume_spike >= 3.0000 AND entry_range_position >= 0.6500,11,6,5,0.545454545,0.045454545,0.202388091,0.092400345,47,0.397249095,-0.431697784,0.900953830
132,pre_5m_return >= 0.00 AND volume >= 3.00x AND range >= 0.50,entry_filter_combo,pre_5m_return >= 0.0000 AND pre_5m_volume_spike >= 3.0000 AND entry_range_position >= 0.5000,11,6,5,0.545454545,0.045454545,0.200678727,0.091696256,57,0.413758540,-0.437008413,0.908731257
133,pre_5m_volume_spike >= 5.00,entry_filter,pre_5m_volume_spike >= 5.0000,11,6,5,0.545454545,0.045454545,0.153148727,0.070637642,57,0.553761002,-0.452407986,0.857292801
134,pre_5m_return >= -0.50 AND volume >= 5.00x,entry_filter_combo,pre_5m_return >= -0.5000 AND pre_5m_volume_spike >= 5.0000,11,6,5,0.545454545,0.045454545,0.153148727,0.070637642,57,0.553761002,-0.452407986,0.857292801
135,pre_5m_return >= -0.25 AND volume >= 5.00x,entry_filter_combo,pre_5m_return >= -0.2500 AND pre_5m_volume_spike >= 5.0000,11,6,5,0.545454545,0.045454545,0.153148727,0.070637642,57,0.553761002,-0.452407986,0.857292801
136,pre_5m_return >= -0.50,entry_filter,pre_5m_return >= -0.5000,54,29,25,0.537037037,0.037037037,0.074513833,0.044533169,47,0.404150135,-0.277695582,0.820068794
