wallet,mint,first_buy_tx,first_buy_wallet,first_buy_time,last_sell_time,buy_count,sell_count,total_buy_sol,total_sell_sol,average_buy_price_sol,realized_pnl_sol,realized_roi,holding_seconds,is_closed
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,Bfbcto2FuaMaff5gRRZ94VwNEV38PHcps1bzGh5qpump,2Pcayx6sPtYh1WkFbt5vouT6shS9s9cEGKCHTwDZAFULixAZQxCR86r4M2hDzCo5X1Wqh3cDzyRqt8gtGAAsbgpH,55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,2026-04-28T23:46:53+00:00,2026-04-28T23:47:51+00:00,2,2,1.007381105,1.007722497,0.000000063935,0.000341392,0.000339,58,true
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,27iT7jRoGF1mdBmZrqKu2Vk2cTfYxCrk5GBGywWCpump,kJ3baoT32Y3roYfTcv5ScZtUDtr7jV6iJq1cNXj8fv6zYK7nLWHQLgd5sYRvSMUE26EfFpGUH582Cmb6YK9pWf1,55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,2026-04-28T23:49:39+00:00,2026-04-28T23:50:13+00:00,1,1,0.592078960,0.694928353,0.000000042817,0.102849393,0.173709,34,true
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,J9Ex7i2uvkChYbAkUjFXvZADoFe9HDtrMSVYLQxyCxq2,5ajcoYaqfCXGH71JWfXUVg4QxSSspZu4LCaK2UgsvF34rXN8WU5mumer11kqf5CDrrpxVpi6maiEoZN434vr4NS8,55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,2026-04-28T23:54:55+00:00,2026-04-28T23:56:34+00:00,1,2,0.513039667,1.608838357,0.000000066816,1.095798690,2.135895,99,true
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,J4EAgqke6gon9Vt7jxiSFn3gHoTfkMbbkzRBJtETpump,2fp76N6LsEfQwDgM5G4nGNDkQkrcD7TxVTtjg4ooRg5E7f5h74ohvFHXC6U9m5YwVEQ8nfMhZPsWrZ9At4898y9Z,55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,2026-04-28T23:56:09+00:00,2026-04-28T23:56:22+00:00,1,1,0.594817161,0.530413577,0.000000045976,-0.064403584,-0.108275,13,true
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,24tfitMx18YnTCCGE9pgiYc17sdX3AzudkUoSZ2xpump,5bjmK4eA4sDJpKyBLoypHUu48f5Q34FDYrmxAuC4APFEX3CkwaauGEzt6bmCjUTAzqdBZrnSTTfnP7HMCjaVZFS7,55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,2026-04-28T23:57:22+00:00,2026-04-28T23:58:24+00:00,2,2,1.052313090,1.248928347,0.000000050492,0.196615257,0.186841,62,true
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,5y8cUQc42cF3xCGqimEAZSNLxMMW4ic2HMJLn3QApump,26N2CgSAYMNPuHeAcnDwYH2VPEkMF4YZ2hYyMUrBMFQ5WkShXNABnfKAyFwXtQGExpHvWrjqz9CJPqoK484D6dnd,55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,2026-04-29T00:23:59+00:00,2026-04-29T00:24:21+00:00,1,1,0.500000001,0.194229837,0.000000080278,-0.305770164,-0.611540,22,true
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,A81uG5MkBhmgSfZiHxeKGuLM37QFzXpouXCe3rsUpump,4UrCgnDeFa1xoeLLPAbRSV1D3g4kvRt1mQxLgg6f2scFFAUXFSsjwKENhZGii8xYmtpHTvwmTp57rUaeCZQBarwy,55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,2026-04-29T00:28:42+00:00,2026-04-29T00:28:58+00:00,1,1,0.560993662,0.618406053,0.000000047209,0.057412391,0.102341,16,true
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,8tB69L1P5u6AwWx88QBMePF8RPoszsM5mSSLRpJ1VnkC,3sDg814Va3E74ZpzNJJWU5ewzhNcZ6BnHcitvh8jePm4m5MB4KivAW8t8xjtszRt76oWriJUmSJbtuCECWRyVoJM,55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,2026-04-29T00:31:56+00:00,2026-04-29T00:32:37+00:00,1,1,0.499884850,0.495135942,0.000000046029,-0.004748908,-0.009500,41,true
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,kViqKTxKC76p5nQnN84RQWYcmj6wfQWWCxJcVGypump,3yyQP1rRGZ95FDnDC6YETPFGhaWvyrBjH1bLaop9HyLGVdZU9MDbMm7Z9Ap1nZr487ueeGXPtCXxjYTB1SEmwN3F,55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,2026-04-29T00:33:20+00:00,2026-04-29T00:33:39+00:00,1,1,0.509565741,0.506710171,0.000000031657,-0.002855570,-0.005604,19,true
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,YMx8a3ssPPQTbjSEzim5ux4XPPfnUxmngS2zZznpump,4JQVP4jVFSwLYmXKhRBE3SDRxy1hiir46UcjDV5Uagpb71qWje8HMWAmUeKgJERtduT89brYCyVLGNCWLyQMN1f1,55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,2026-04-29T00:39:02+00:00,2026-04-29T00:39:11+00:00,1,1,0.605176345,0.579333697,0.000000038933,-0.025842648,-0.042703,9,true
